,Founded,Size,Location,Type of Ownership,Sector,Revenue,Rating,Salary Estimate,Job Title,Job Description,Industry,Company Name
0,1967,10000+ Employees,Bangalore,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Applied Materials Inc.
1,1967,10000+ Employees,Hyderābād,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Product: Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Indeed
2,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist I,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,UST Global
3,1967,10000+ Employees,Remote,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Senior Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,ParallelDots Technology Pvt Ltd
4,1967,10000+ Employees,Bangalore,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Visa
5,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Associate Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,
6,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,247 Global Recruit
7,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist R Python Google Cloud,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Freemind Solutions
8,1967,10000+ Employees,Gurgaon,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Data Scientist,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,MasterCard
9,1967,10000+ Employees,Pune,Company - Public,Manufacturing,$10+ billion (USD),4.0,,Machine learning and Python Developer,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",Electrical & Electronic Manufacturing,Infosys Limited
