,Company Name,Job Title,Job Description,Salary Estimate,Location,Revenue,min_salary,max_salary,python,sql,Machine Learning,TensorFlow
0,UTURNGROUP,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
1,Yash Technologies,Associate Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
2,"JPMorgan Chase Bank, N.A.",Data Scientist Associate - Wholesale Payments,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Mumbai,,223,223,1,1,1,0
3,KPIT Technologies GmbH,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
4,NICE,Specialist Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
5,SHL Global,,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Mumbai,,223,223,1,1,1,0
6,KBR,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
7,Shell,Associate Data Scientist (Upstream),"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Chennai,,223,223,1,1,1,0
8,Qualys,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
9,Innoplexus,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
10,ArrayGen Technologies,Data Scientist( Statistics Specialization),"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Pune,,223,223,1,1,1,0
11,Interactions,Natural Language Processing Engineer/Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),Bangalore,,223,223,1,1,1,0
12,Mondelēz International,Data Scientist,"Responsibilities for Data Scientist/ NLP Engineer Work with customers to identify opportunities for leveraging their data to drive business solutions. * Develop custom data models and algorithms to apply to data sets. * Basic data cleaning and annotation for any incoming raw data. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. * Develop company A/B testing framework and test model quality.
Deployment of ML model in production. Qualifications for Junior Data Scientist/ NLP Engineer
BS, MS in Computer Science, Engineering, or related discipline.
3+ Years of experience in Data Science/Machine Learning.
Experience with programming language Python.
Familiar with at least one database query language, such as SQL",₹223K (Employer est.),India,,223,223,1,1,1,0
